post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49517584,GPU World,technology,223,109,simonpure,2026-09-01 15:24:24.837359,0.48660714285714285,True
49493468,American Airlines' Legendary Mechanic Passes Away at 100 After 80-Year Career,technology,22,4,NaOH,2026-09-01 15:24:24.842438,0.17391304347826086,False
49503521,Terence Tao explains 6 essential mathematical concepts [video],technology,421,60,matthewsinclair,2026-09-01 15:24:24.842502,0.14218009478672985,True
49508982,Apple caught off guard by AI demand for Mac Mini and Mac Studio,technology,407,452,thm,2026-09-01 15:24:24.842547,1.107843137254902,True
49496292,Smartphone LED detects hidden cameras with AI,technology,212,61,geox,2026-09-01 15:24:24.842692,0.2863849765258216,True
49515830,Run macOS Software on Linux,technology,227,71,Bluestein,2026-09-01 15:24:24.842752,0.31140350877192985,True
49518316,AI Can Make You Suck Faster Too,technology,92,99,degamad,2026-09-01 15:24:24.842798,1.064516129032258,False
49506819,Breaking Claude Code Opus 5 Auto Mode,technology,370,116,Recursing,2026-09-01 15:24:24.842836,0.31266846361185985,True
49511007,Launch HN: Almanac (YC S26) – AI that knows your company,technology,53,47,kushagrchitkar,2026-09-01 15:24:24.842963,0.8703703703703703,False
49510632,Launch HN: Hebbian Robotics (YC S26) – Build scalable robotics data pipelines,technology,44,12,kstonekuan,2026-09-01 15:24:24.842991,0.26666666666666666,False
49455557,Show HN: We built the smallest dual-band aircraft tracker,technology,82,21,CoolNamesAllTkn,2026-09-01 15:24:24.843011,0.25301204819277107,False
49497137,A Cyanometer and a Cloud Colourimeter,technology,18,1,Kaibeezy,2026-09-01 15:24:24.843053,0.05263157894736842,False
49512856,The safest job from AI may be writing,technology,130,177,ilreb,2026-09-01 15:24:24.843091,1.3511450381679388,True
49508059,Malleable software = solid bases and custom code,technology,102,30,tablet,2026-09-01 15:24:24.843136,0.2912621359223301,False
49514895,How we configured OpenTelemetry logs in Rails,technology,29,7,__vivek,2026-09-01 15:24:24.843172,0.23333333333333334,False
49507121,Study: Blue light impairs the eye's ability to distinguish fine detail most,technology,88,55,giuliomagnifico,2026-09-01 15:24:24.843221,0.6179775280898876,False
49505219,P99 0 ms* autocomplete for 240M domain names,technology,220,84,dbalatero,2026-09-01 15:24:24.843245,0.38009049773755654,True
49512169,GPU World,technology,8,0,tosh,2026-09-01 15:24:24.843469,0.0,False
49515558,How to get a free .arpa domain,technology,13,1,ethanhawksley,2026-09-01 15:24:24.843523,0.07142857142857142,False
49519193,Indictments against a top extremism researcher and the SPLC,technology,6,1,osadalakmal,2026-09-01 15:24:24.843544,0.14285714285714285,False
49517727,Paint.NET Adds Experimental Wine/Linux Support,technology,21,3,tech234a,2026-09-01 15:24:24.843561,0.13636363636363635,False
49516047,Discontinuation of third level domain registrations for the .name TLD [pdf],technology,8,0,greyface-,2026-09-01 15:24:24.843581,0.0,False
49515975,Running a Software Factory Efficiently at Uber Scale,technology,8,1,Kaedon,2026-09-01 15:24:24.843595,0.1111111111111111,False
49507810,1960s theory that Stonehenge was a prehistoric computer,technology,36,47,dabinat,2026-09-01 15:24:24.843644,1.2702702702702702,False
49517928,ArXiv has almost 600 submissions today and most are AI slop,technology,21,14,marysminefnuf,2026-09-01 15:24:24.843664,0.6363636363636364,False
49467636,Dwarf Fortress is getting the mother of all magic updates,worldnews,413,169,Tomte,2026-09-01 15:24:24.843695,0.4082125603864734,True
49495171,No country for mediocre mathematicians,worldnews,195,116,reasonableklout,2026-09-01 15:24:24.843854,0.5918367346938775,True
49519641,"Google Maps renames ""Lake Ontario"" to ""Lake America"" faster than US Government",worldnews,5,1,Levitating,2026-09-01 15:24:24.843889,0.16666666666666666,False
49519431,Trump Mocks Data-Center Opponents as Wanting to Stay 'Backwards and Poor',worldnews,6,2,dkobia,2026-09-01 15:24:24.843963,0.2857142857142857,False
49479072,Verschlimmbesserung: The Word Your Software Updates Need,worldnews,178,120,speckx,2026-09-01 15:24:24.844008,0.6703910614525139,True
49491714,Calibrate Before You Accelerate: Bias Toward Action in a New Role,worldnews,183,80,tuckerwales,2026-09-01 15:24:24.844048,0.43478260869565216,True
49475979,Interactive Warhammer 40k Galaxy Map,worldnews,161,58,gbxyz,2026-09-01 15:24:24.844097,0.35802469135802467,True
49485532,Does the Sumerian King List Align with Paleoclimate Events?,worldnews,135,82,dev_l1x_be,2026-09-01 15:24:24.844140,0.6029411764705882,True
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,59,20,mooreds,2026-09-01 15:24:24.844177,0.3333333333333333,False
49458875,Humanity has the debate about AI consciousness backwards,worldnews,118,385,semiquaver,2026-09-01 15:24:24.844218,3.235294117647059,False
49507072,How an MIT research project became a global programming language,worldnews,5,0,theanonymousone,2026-09-01 15:24:24.844262,0.0,False
49432201,How credit card rewards became a $9.2B wealth transfer,worldnews,257,452,conbrian,2026-09-01 15:24:24.844307,1.751937984496124,True
