post_id,title,category,score,num_comments,author,collected_at
49517584,GPU World,technology,223,109,simonpure,2026-09-01 15:24:24.837359
49493468,American Airlines' Legendary Mechanic Passes Away at 100 After 80-Year Career,technology,22,4,NaOH,2026-09-01 15:24:24.842438
49503521,Terence Tao explains 6 essential mathematical concepts [video],technology,421,60,matthewsinclair,2026-09-01 15:24:24.842502
49508982,Apple caught off guard by AI demand for Mac Mini and Mac Studio,technology,407,452,thm,2026-09-01 15:24:24.842547
49496292,Smartphone LED detects hidden cameras with AI,technology,212,61,geox,2026-09-01 15:24:24.842692
49515830,Run macOS Software on Linux,technology,227,71,Bluestein,2026-09-01 15:24:24.842752
49518316,AI Can Make You Suck Faster Too,technology,92,99,degamad,2026-09-01 15:24:24.842798
49506819,Breaking Claude Code Opus 5 Auto Mode,technology,370,116,Recursing,2026-09-01 15:24:24.842836
49511007,Launch HN: Almanac (YC S26) – AI that knows your company,technology,53,47,kushagrchitkar,2026-09-01 15:24:24.842963
49510632,Launch HN: Hebbian Robotics (YC S26) – Build scalable robotics data pipelines,technology,44,12,kstonekuan,2026-09-01 15:24:24.842991
49455557,Show HN: We built the smallest dual-band aircraft tracker,technology,82,21,CoolNamesAllTkn,2026-09-01 15:24:24.843011
49497137,A Cyanometer and a Cloud Colourimeter,technology,18,1,Kaibeezy,2026-09-01 15:24:24.843053
49512856,The safest job from AI may be writing,technology,130,177,ilreb,2026-09-01 15:24:24.843091
49508059,Malleable software = solid bases and custom code,technology,102,30,tablet,2026-09-01 15:24:24.843136
49514895,How we configured OpenTelemetry logs in Rails,technology,29,7,__vivek,2026-09-01 15:24:24.843172
49507121,Study: Blue light impairs the eye's ability to distinguish fine detail most,technology,88,55,giuliomagnifico,2026-09-01 15:24:24.843221
49505219,P99 0 ms* autocomplete for 240M domain names,technology,220,84,dbalatero,2026-09-01 15:24:24.843245
49512169,GPU World,technology,8,0,tosh,2026-09-01 15:24:24.843469
49515558,How to get a free .arpa domain,technology,13,1,ethanhawksley,2026-09-01 15:24:24.843523
49519193,Indictments against a top extremism researcher and the SPLC,technology,6,1,osadalakmal,2026-09-01 15:24:24.843544
49517727,Paint.NET Adds Experimental Wine/Linux Support,technology,21,3,tech234a,2026-09-01 15:24:24.843561
49516047,Discontinuation of third level domain registrations for the .name TLD [pdf],technology,8,0,greyface-,2026-09-01 15:24:24.843581
49515975,Running a Software Factory Efficiently at Uber Scale,technology,8,1,Kaedon,2026-09-01 15:24:24.843595
